signal_date,trade_date,market_regime,strategy_type,strategy_name,action,action_label,action_sub,stock_id,price_tier,ref_price,target_weight,suggested_amount,suggested_shares,estimated_total_cost,entry_score,liquidity_level,liquidity_tag,liquidity_score,volume,turnover,source,reason,system_note,note,behavior_hint,behavior_confidence,behavior_action_hint,updated_at,date,name,market,open,high,low,close,ret1,mom3,mom5,mom10,mom20,mom60,ma5,ma10,ma20,ma60,vol20,vol_ma5,vol_ma20,volume_ratio,vol_dry_ratio,high_20,low_20,high_60,low_60,range_20,ma_max,ma_min,ma_converge_pct,ma20_slope,kd_k,kd_d,kd_cross,macd_diff,macd_signal,macd_hist,macd_cross,obv_proxy,obv_mom5,obv_up_count_3,low_non_down_count_3,obv_up_count_5,low_non_down_count_5,obv_up_count_10,low_non_down_count_10,history_count,has_60d_history,engine,final_action,stock_name,bucket,score,entry_type,execution_flag,allowed,priority,opportunity_score,opportunity_rank,top_opportunity,chip_score,chip_label,chip_display,chip_reason,chip_hint,chip_valid_count,chip_missing,chip_confidence,section_opportunity_rank,section_top_opportunity,stock_name_chip_src,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance,short_balance,margin_balance_change,short_balance_change,margin_valid,chip_market,refresh_mode,position_action,position_reason,position_hint,take_profit_hint,risk_flag,avg_price,shares,lots,ma5_status,ma20_status,pnl_pct,price_source,chip_source,position_source,ma10_status,ma5_label,ma10_label,ma20_label,kbar_type,k_structure,kline_structure,tech_reason,kbar_reason,tech_decision_hint
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,BUY,買進,高流動性強勢買進,6257,100-300,203.7,0.03,30000.0,147.27,30045.0,128.0,HIGH,高流動性,95.81,24188552.0,4922370332000.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,矽格,TWSE,202.5,204.5,191.0,203.5,0.0329949238578679,0.1305555555555555,0.1274238227146813,0.0882352941176469,0.3129032258064517,0.5186567164179106,189.7,185.95,182.075,149.90833333333333,0.0315669253170177,16361231.2,17829201.1,1.356681764052793,0.9176648526332456,204.5,157.5,204.5,118.0,0.230958230957096,189.7,182.075,0.0374692874691033,0.054742939898307,75.3814517362556,60.685575650040974,0,11.16961411903722,10.694713377111931,0.4749007419252891,1,1966046408.0,0.036015794161172,3.0,3.0,4.0,5.0,6.0,8.0,2754,True,CORE,TEST,矽格,CORE,80.0,BREAK,WATCH,False,3,138.53,3,TOP3,65.0,🟢 偏集中,65（🟢 偏集中）,三大法人買超｜投信賣超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,3,試單TOP3,矽格,1213276.0,-361000.0,45098.0,897374.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,BUY,買進,高流動性強勢買進,3033,50以下,42.44,0.03,30000.0,706.84,30045.0,128.0,HIGH,高流動性,95.45,51739018.0,2193734363200.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,威健,TWSE,40.8,42.4,40.45,42.4,0.0998702983138781,0.186013986013986,0.1712707182320441,0.2166428079325566,0.306625547091643,0.3788617886178862,38.09,36.705,35.37999996185303,32.8425,0.0265235956754106,20756016.6,8827882.35,5.8608640157058725,2.35118862906006,42.4,32.70000076293945,42.4,28.450000762939453,0.2287735669064097,38.09,35.37999996185303,0.0639150952378079,0.0434269734165637,88.12889197049688,80.88924247415477,0,1.6301244649885334,1.0533747606501684,0.5767497043383649,0,1011875811.0,0.0971609800119077,3.0,3.0,3.0,4.0,6.0,7.0,2754,True,ALPHA,TEST,威健,CORE,80.0,BREAK,WATCH,False,3,138.41,4,TOP4,85.0,🔥 高度集中,85（🔥 高度集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,4,試單TOP4,威健,49000.0,530272.0,56765.0,636037.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,BUY,買進,高流動性強勢買進,2883,50以下,22.22,0.03,30000.0,1350.0,30045.0,128.0,HIGH,高流動性,94.85,68298084.0,1516217464800.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,凱基金,TWSE,21.95,22.3,21.95,22.2,0.0183486238532109,0.0325581395348837,0.0422535211267605,0.0724637285881695,0.0802920109098488,0.2231405215752655,21.72,21.16999992370605,21.08749992370605,20.1958331489563,0.0171152808316909,65207747.0,48487740.5,1.4085639647407369,1.3448295657332188,22.3,20.049999237060547,22.3,17.799999237060547,0.101351385713428,21.72,21.08749992370605,0.0284909944263717,0.0235408381947548,87.53127282516552,75.3130584307363,0,0.4008979162756496,0.2978494749797208,0.1030484412959288,0,7319214535.0,0.0070652627537368,2.0,3.0,3.0,5.0,7.0,7.0,2754,True,ALPHA,TEST,凱基金,CORE,80.0,BREAK,TOP,True,3,138.2,5,TOP5,25.0,⚠️ 分散,25（⚠️ 分散）,三大法人賣超｜融資融券資料有限,籌碼偏弱且資料有限，避免重倉追高。,1,部分籌碼資料有限,📉 低信心,5,試單TOP5,開發金,-157000.0,0.0,0.0,-157000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,BUY,買進,高流動性強勢買進,1809,50以下,34.18,0.03,30000.0,877.6,30045.0,128.0,HIGH,高流動性,89.73,19148538.0,653922572700.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,中釉,TWSE,34.15,34.15,32.9,34.15,0.0998389694041868,0.3287937743190661,0.2935606060606059,0.2463503823155084,0.3825910504116088,0.2790261806809162,29.12,27.855000038146976,27.32999998092652,26.41333340326945,0.0498827376819604,8638198.8,5123040.55,3.737729149928356,1.6861468722905188,34.15,24.5,35.75,22.64999961853028,0.2825768667560007,29.12,27.32999998092652,0.0524158131484938,0.032879817127476,76.24251923793153,57.86953974559788,0,0.9204214261301508,0.3132683537225821,0.6071530724075687,0,842446307.0,0.0503347085224998,3.0,3.0,4.0,5.0,6.0,7.0,2754,True,CORE,TEST,中釉,CORE,80.0,BREAK,TOP,True,3,136.41,,,25.0,⚠️ 分散,25（⚠️ 分散）,三大法人賣超｜融資融券資料有限,籌碼偏弱且資料有限，避免重倉追高。,1,部分籌碼資料有限,📉 低信心,,,,-316000.0,0.0,0.0,-316000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,BUY,買進,高流動性強勢買進,6526,500-1000,655.65,0.03,30000.0,45.76,30045.0,128.0,HIGH,高流動性,89.66,5119621.0,3353351755000.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,達發,TWSE,642.0,655.0,640.0,655.0,0.0989932885906039,0.1887477313974592,0.1491228070175438,0.1801801801801801,0.3561076604554865,0.4116379310344826,587.8,585.7,541.125,504.4916666666667,0.0509616533512331,2509525.4,1763687.5,2.902793720542895,1.4228855168503485,655.0,473.0,655.0,422.5,0.2778625954194231,587.8,541.125,0.0712595419846239,0.0542594125954815,74.06747225049092,65.99700596121227,1,29.977621140059117,21.52611107028228,8.451510069776837,0,31391694.0,0.427387306032557,3.0,3.0,4.0,3.0,6.0,5.0,621,True,CORE,TEST,達發,CORE,80.0,BREAK,WATCH,False,3,136.38,,,75.0,🟢 偏集中,75（🟢 偏集中）,三大法人買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,,,達發,405886.0,0.0,13116.0,419002.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,TEST,試單,強勢試單,2382,300-500,346.85,0.01,10000.0,28.83,10015.0,118.0,HIGH,高流動性,98.38,44808704.0,15526215936000.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,廣達,TWSE,328.0,348.0,328.0,346.5,0.0794392523364486,0.1088,0.0794392523364486,0.0191176470588234,0.198961937716263,0.2052173913043478,324.0,324.65,322.475,297.7333333333333,0.0306493213901802,21135469.6,24339452.85,1.8409906038623212,0.8683625605823756,348.0,293.5,348.0,268.5,0.1572871572867033,324.65,322.475,0.006277056277038,0.0314249160402002,48.25511701197263,37.88567882921632,1,8.181827269237772,8.290962325883998,-0.1091350566462256,0,3129592159.0,0.0221580145602886,3.0,3.0,4.0,3.0,6.0,6.0,2754,True,ALPHA,TEST,廣達,CORE,80.0,BREAK,WATCH,False,3,139.43,1,TOP1,15.0,❌ 極度分散,15（❌ 極度分散）,三大法人賣超｜投信賣超｜融資融券資料有限,籌碼偏弱且資料有限，避免重倉追高。,1,部分籌碼資料有限,📉 低信心,1,試單TOP1,廣達,-8157945.0,-440643.0,499946.0,-8098642.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,震盪整理,震盪整理,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：震盪整理,K棒型態：突破確認K｜K線結構：震盪整理,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,TEST,試單,強勢試單,3006,100-300,200.2,0.01,10000.0,49.95,10015.0,114.0,HIGH,高流動性,96.91,33684152.0,6736830400000.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,晶豪科,TWSE,200.0,200.0,193.0,200.0,0.098901098901099,0.1799410029498525,0.0840108401084009,0.2422360248447204,0.2738853503184713,0.3245033112582782,179.9,172.95,164.925,166.075,0.0491856531162938,30018182.4,21082889.75,1.5977009034067542,1.4238172639497866,200.0,147.0,223.5,132.0,0.264999999998675,179.9,164.925,0.0748749999996256,0.0374272684381984,80.25436494019019,69.55185597075678,0,5.599288025145938,1.9162498381759785,3.68303818696996,0,3513799109.0,0.0054429092553409,3.0,2.0,3.0,3.0,6.0,6.0,2754,True,CORE,TEST,晶豪科,CORE,80.0,BREAK,WATCH,False,3,138.92,2,TOP2,75.0,🟢 偏集中,75（🟢 偏集中）,三大法人買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,2,試單TOP2,,179521.0,0.0,173795.0,353316.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,TEST,試單,強勢試單,3028,50-100,76.58,0.01,10000.0,130.59,10015.0,114.0,HIGH,高流動性,85.33,6698508.0,512435862000.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,增你強,TWSE,72.2,76.5,72.0,76.5,0.0991379310344828,0.1200585651537335,0.0805084745762712,0.2479608638192263,0.4488636572991524,0.8389423751443124,70.88,68.05000007629394,64.515,55.38916646321614,0.0425926117781181,6767546.6,6823852.35,0.9816314387283012,0.9917486857698496,76.5,54.09999847412109,76.5,41.20000076293945,0.2928104774586418,70.88,64.515,0.0832026143779972,0.0853802139486318,73.57577369051401,64.59303814300877,0,4.614006481345726,3.838545535289941,0.7754609460557846,0,347901740.0,-0.0186136466356502,3.0,2.0,3.0,3.0,7.0,7.0,2754,True,ALPHA,TEST,增你強,CORE,80.0,WAIT,BLOCK,False,3,124.87,,,25.0,⚠️ 分散,25（⚠️ 分散）,三大法人賣超｜融資融券資料有限,籌碼偏弱且資料有限，避免重倉追高。,1,部分籌碼資料有限,📉 低信心,,,,-701100.0,0.0,222563.0,-478537.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,ALPHA,ALPHA Trend Momentum,TEST,試單,強勢試單,6414,300-500,348.85,0.01,10000.0,28.67,10015.0,114.0,HIGH,高流動性,79.1,1945374.0,677962839000.0,V266_DUAL,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-06 19:39:59,2026-05-06,樺漢,TWSE,348.0,350.0,340.0,348.5,0.0101449275362319,0.0822981366459627,0.0839813374805598,0.1151999999999999,0.2626811594202898,0.1934931506849315,333.8,325.05,309.875,287.31666666666666,0.0157660855444017,1716911.2,1682345.85,1.1563460628502746,1.0205459240143748,350.0,277.0,350.0,256.0,0.2094691535144635,333.8,309.875,0.0686513629840211,0.0519392344901912,91.34455456221706,85.86407922755416,0,15.350849967798752,11.840115257248744,3.5107347105500075,0,305899759.0,0.0233425386395829,3.0,3.0,4.0,4.0,6.0,7.0,2754,True,CORE,TEST,樺漢,CORE,80.0,BREAK,WATCH,False,3,132.69,,,65.0,🟢 偏集中,65（🟢 偏集中）,三大法人買超｜投信賣超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,,,樺漢,674000.0,-88000.0,1424.0,587424.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2026-05-06,2026-05-07,RANGE,CORE,CORE Early Entry,BUY,買進,早期卡位,2059,1000以上,4404.4,0.012,12000.0,2.72,12018.0,96.0,HIGH,高流動性,81.91,1317410.0,5796604000000.0,V266_DUAL,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,⚪ 行為中性（依策略判斷）,中低,目前訊號不夠明確，依原策略與風控執行。,2026-05-06 19:39:59,2026-05-06,川湖,TWSE,4280.0,4530.0,4090.0,4400.0,0.0628019323671498,0.1253196930946292,0.1055276381909546,0.1413748378728923,0.3858267716535433,0.2607449856733523,4133.0,3992.0,3738.5,3423.9166666666665,0.0383397733426913,970326.4,840173.55,1.5680212736999375,1.1549118631501774,4530.0,3250.0,4530.0,2875.0,0.2909090909090248,4133.0,3738.5,0.0896590909090705,0.0573428551226593,82.73856886767709,79.08579125949629,0,210.0522675168272,155.55812103765953,54.49414647916768,0,134564530.0,0.0173546883328905,3.0,2.0,4.0,3.0,8.0,6.0,2754,True,CORE,TEST,川湖,CORE,80.0,BREAK,TOP,True,3,133.15,,,35.0,⚠️ 分散,35（⚠️ 分散）,三大法人賣超｜投信買超｜融資融券資料有限,籌碼普通或資料有限，需搭配技術面確認。,1,部分籌碼資料有限,📉 低信心,,,川湖,-568295.0,59500.0,68336.0,-440459.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
